Leak_ID,Source_Platform,Leak_Type,Data_Snippet,Risk_Score,Pattern_Matched,Anomaly_Flag,Date_Detected,False_Positive
29,GitHub,Database Dump,db_row_6270,1,email_regex,No,2024-10-06,Yes
30,GitHub,API Key,AIzaSyD4473***,7,username_password,No,2024-12-25,No
31,Pastebin,Payment Info,4337 4984 4619 8525,6,api_key_regex,Yes,2024-11-04,Yes
32,Public Forum,Payment Info,4834 4074 8820 1395,6,username_password,No,2024-08-14,No
33,Pastebin,Confidential Document,ConfDoc_6314.pdf,6,email_regex,Yes,2024-11-14,No
34,GitHub,Payment Info,4180 2545 8809 7565,1,username_password,No,2025-01-11,No
35,Dark Web,Config File,DB_PASSWORD=secret906,7,username_password,No,2025-08-05,Yes
36,Public Forum,Database Dump,db_row_9494,7,credit_card_regex,No,2024-12-25,No
37,Social Media,Database Dump,db_row_7384,7,credit_card_regex,No,2024-09-28,Yes
38,Dark Web,API Key,AIzaSyD8317***,5,password_env_regex,No,2025-01-12,No
39,Public Forum,Payment Info,4742 3214 5066 2470,4,email_regex,No,2025-03-27,No
40,Dark Web,Confidential Document,ConfDoc_5608.pdf,3,password_env_regex,No,2024-11-29,Yes
41,Social Media,Config File,DB_PASSWORD=secret957,4,username_password,No,2024-12-31,No
42,Dark Web,Config File,DB_PASSWORD=secret411,7,password_env_regex,No,2025-01-13,Yes
43,Social Media,API Key,AIzaSyD4294***,9,email_regex,Yes,2024-11-23,No
44,Dark Web,Payment Info,4509 7358 9471 7737,3,credit_card_regex,No,2024-12-04,No
45,Public Forum,Credentials,user266:pass317,2,credit_card_regex,No,2025-02-10,Yes
46,Pastebin,Source Code,function test24(){return true;},10,username_password,No,2024-09-10,No
47,Pastebin,Payment Info,4389 1386 7997 1254,5,username_password,Yes,2025-08-05,Yes
48,Dark Web,Payment Info,4528 3641 4921 5572,5,email_regex,Yes,2024-08-30,No
49,GitHub,API Key,AIzaSyD7785***,10,password_env_regex,No,2025-07-08,Yes
50,GitHub,Payment Info,4312 9755 7409 8669,1,password_env_regex,Yes,2025-05-22,Yes
51,Social Media,Payment Info,4790 5220 9565 1668,8,credit_card_regex,No,2025-03-24,Yes
52,Dark Web,Database Dump,db_row_9443,4,email_regex,No,2025-07-04,No
53,Dark Web,Payment Info,4010 7378 2714 7243,6,credit_card_regex,No,2025-07-27,Yes
54,GitHub,Config File,DB_PASSWORD=secret740,9,credit_card_regex,Yes,2025-04-16,No
55,Social Media,Config File,DB_PASSWORD=secret289,1,username_password,No,2025-03-28,No
56,Public Forum,Source Code,function test29(){return true;},8,email_regex,Yes,2025-07-16,No
57,Public Forum,Confidential Document,ConfDoc_3991.pdf,9,username_password,Yes,2025-04-03,Yes
58,GitHub,Personal Data,"Name29, email65@example.com",1,email_regex,No,2025-05-27,Yes
59,GitHub,Config File,DB_PASSWORD=secret279,3,api_key_regex,No,2025-06-07,Yes
60,Public Forum,API Key,AIzaSyD2012***,8,username_password,No,2025-02-02,No
61,Public Forum,Source Code,function test84(){return true;},10,password_env_regex,Yes,2025-01-09,Yes
62,Pastebin,Source Code,function test78(){return true;},1,credit_card_regex,Yes,2025-07-31,No
63,Dark Web,Database Dump,db_row_1200,2,credit_card_regex,No,2024-11-17,No
64,Pastebin,Personal Data,"Name18, email69@example.com",10,credit_card_regex,Yes,2024-12-05,No
65,Social Media,Credentials,user149:pass305,5,email_regex,No,2024-11-05,No
66,Social Media,Confidential Document,ConfDoc_7497.pdf,1,api_key_regex,No,2025-01-20,No
67,Pastebin,Source Code,function test30(){return true;},9,api_key_regex,No,2025-04-15,Yes
68,Dark Web,Personal Data,"Name49, email89@example.com",2,credit_card_regex,No,2024-11-12,No
69,Pastebin,Payment Info,4236 9826 1023 1255,1,password_env_regex,No,2025-04-18,No
70,Pastebin,Config File,DB_PASSWORD=secret962,4,api_key_regex,No,2025-04-26,No
71,Pastebin,Database Dump,db_row_8652,6,credit_card_regex,Yes,2025-06-01,Yes
72,GitHub,Source Code,function test39(){return true;},5,username_password,No,2025-05-29,No
73,Pastebin,Database Dump,db_row_3810,9,username_password,No,2025-06-09,No
74,Public Forum,Credentials,user223:pass249,10,username_password,Yes,2025-05-25,Yes
75,Pastebin,Database Dump,db_row_7753,10,credit_card_regex,Yes,2025-04-21,No
76,GitHub,Database Dump,db_row_7181,5,api_key_regex,No,2025-07-01,No
77,Public Forum,Personal Data,"Name15, email89@example.com",6,api_key_regex,No,2025-03-03,No
78,Dark Web,Credentials,user293:pass109,6,credit_card_regex,No,2024-09-06,Yes
79,GitHub,Personal Data,"Name37, email35@example.com",4,password_env_regex,No,2024-08-30,Yes
80,GitHub,Source Code,function test76(){return true;},4,api_key_regex,Yes,2025-04-27,No
81,Pastebin,Personal Data,"Name19, email33@example.com",3,api_key_regex,No,2025-07-24,Yes
82,Pastebin,API Key,AIzaSyD2520***,5,password_env_regex,Yes,2025-04-07,Yes
83,Pastebin,Personal Data,"Name50, email49@example.com",7,email_regex,No,2024-12-18,No
84,GitHub,Credentials,user265:pass905,6,api_key_regex,No,2024-10-30,No
85,Dark Web,Database Dump,db_row_3255,5,password_env_regex,No,2024-12-11,No
86,Social Media,Database Dump,db_row_6815,9,email_regex,No,2025-03-03,Yes
87,Pastebin,Database Dump,db_row_8921,3,email_regex,Yes,2024-08-21,No
88,GitHub,Payment Info,4404 1612 4982 2565,2,credit_card_regex,Yes,2025-07-02,No
89,Pastebin,API Key,AIzaSyD3391***,6,username_password,No,2024-10-11,No
90,Social Media,Confidential Document,ConfDoc_9210.pdf,5,username_password,Yes,2025-06-17,No
91,Social Media,Confidential Document,ConfDoc_5548.pdf,3,username_password,Yes,2025-06-17,No
92,GitHub,API Key,AIzaSyD8778***,7,api_key_regex,Yes,2025-04-21,Yes
93,GitHub,Database Dump,db_row_5887,5,username_password,Yes,2024-09-08,No
94,Public Forum,Source Code,function test85(){return true;},1,api_key_regex,No,2025-06-16,No
95,GitHub,Payment Info,4976 9612 3067 3528,4,password_env_regex,Yes,2024-11-05,No
96,Dark Web,API Key,AIzaSyD4840***,3,api_key_regex,Yes,2024-09-22,No
97,Dark Web,Config File,DB_PASSWORD=secret754,9,email_regex,Yes,2024-10-29,No
98,GitHub,Confidential Document,ConfDoc_2709.pdf,3,api_key_regex,Yes,2024-08-25,Yes
99,Dark Web,Confidential Document,ConfDoc_9264.pdf,4,username_password,No,2024-12-13,Yes
100,Dark Web,Payment Info,4355 3207 2580 1674,5,password_env_regex,No,2025-05-05,Yes
101,Pastebin,API Key,AIzaSyD4602***,9,username_password,No,2024-11-15,No
102,Dark Web,Config File,DB_PASSWORD=secret486,1,username_password,Yes,2025-01-03,Yes
103,Dark Web,Personal Data,"Name14, email78@example.com",5,api_key_regex,No,2025-01-08,Yes
104,GitHub,Payment Info,4568 1615 4506 6452,2,api_key_regex,Yes,2025-01-01,No
105,Pastebin,Database Dump,db_row_6348,6,password_env_regex,No,2025-04-07,No
106,Dark Web,Config File,DB_PASSWORD=secret215,4,api_key_regex,No,2025-04-05,No
107,Pastebin,Config File,DB_PASSWORD=secret401,9,credit_card_regex,No,2025-02-13,No
108,Dark Web,Confidential Document,ConfDoc_3457.pdf,1,credit_card_regex,Yes,2025-02-22,No
109,Pastebin,API Key,AIzaSyD2917***,1,password_env_regex,No,2024-10-05,Yes
110,GitHub,Confidential Document,ConfDoc_7689.pdf,3,username_password,No,2024-11-04,No
111,Dark Web,Source Code,function test24(){return true;},9,username_password,Yes,2025-03-03,No
112,Dark Web,Config File,DB_PASSWORD=secret124,7,username_password,No,2025-05-24,No
113,Dark Web,Personal Data,"Name59, email25@example.com",2,email_regex,Yes,2025-03-10,No
114,Pastebin,Personal Data,"Name28, email64@example.com",5,api_key_regex,No,2025-06-19,Yes
115,Public Forum,Source Code,function test41(){return true;},9,username_password,Yes,2025-01-16,Yes
116,Pastebin,Personal Data,"Name34, email23@example.com",5,api_key_regex,Yes,2025-03-24,No
117,Pastebin,Payment Info,4605 8833 5381 4810,9,credit_card_regex,No,2025-03-11,No
118,Dark Web,Database Dump,db_row_6090,1,username_password,No,2024-12-15,No
119,Public Forum,Personal Data,"Name51, email64@example.com",4,api_key_regex,No,2024-09-08,Yes
120,Dark Web,Personal Data,"Name78, email22@example.com",7,password_env_regex,Yes,2025-01-12,Yes
121,Pastebin,Confidential Document,ConfDoc_1618.pdf,2,email_regex,Yes,2024-10-03,No
122,Public Forum,Source Code,function test92(){return true;},6,credit_card_regex,Yes,2024-11-29,Yes
123,Dark Web,Database Dump,db_row_9551,9,username_password,No,2024-11-24,Yes
124,Pastebin,Database Dump,db_row_6405,6,username_password,No,2025-01-27,No
125,Public Forum,Payment Info,4019 5959 4555 9780,3,api_key_regex,Yes,2025-06-17,No
126,Social Media,Credentials,user567:pass255,7,username_password,Yes,2024-08-19,No
127,GitHub,Source Code,function test76(){return true;},8,credit_card_regex,No,2025-01-09,No
128,Pastebin,Config File,DB_PASSWORD=secret543,2,credit_card_regex,No,2025-04-21,Yes
129,GitHub,Source Code,function test42(){return true;},4,password_env_regex,Yes,2024-12-17,No
130,Pastebin,Source Code,function test91(){return true;},3,api_key_regex,Yes,2024-12-07,Yes
131,Social Media,Config File,DB_PASSWORD=secret116,9,api_key_regex,Yes,2025-03-05,No
132,Dark Web,Source Code,function test43(){return true;},8,password_env_regex,Yes,2024-11-02,Yes
133,GitHub,Credentials,user416:pass804,6,username_password,No,2024-11-02,Yes
134,Pastebin,Source Code,function test74(){return true;},10,email_regex,No,2024-11-07,No
135,Pastebin,Source Code,function test17(){return true;},10,username_password,No,2025-07-19,No
136,GitHub,API Key,AIzaSyD6712***,2,username_password,Yes,2025-06-08,No
137,Pastebin,Config File,DB_PASSWORD=secret488,5,username_password,No,2025-08-04,No
138,GitHub,Config File,DB_PASSWORD=secret783,5,credit_card_regex,No,2024-11-17,Yes
139,Social Media,Credentials,user568:pass971,4,email_regex,No,2025-01-18,Yes
140,GitHub,Personal Data,"Name31, email52@example.com",6,password_env_regex,Yes,2025-07-21,Yes
141,Dark Web,Payment Info,4172 1684 3718 6973,7,email_regex,Yes,2025-08-08,Yes
142,Public Forum,Source Code,function test58(){return true;},3,api_key_regex,Yes,2024-09-25,Yes
143,Public Forum,Credentials,user281:pass257,7,api_key_regex,Yes,2024-09-13,Yes
144,Dark Web,Personal Data,"Name71, email17@example.com",7,email_regex,No,2025-04-16,Yes
145,Pastebin,Source Code,function test84(){return true;},7,api_key_regex,Yes,2025-01-10,Yes
146,Public Forum,Personal Data,"Name71, email10@example.com",2,credit_card_regex,Yes,2025-02-13,Yes
147,Social Media,Personal Data,"Name90, email89@example.com",2,password_env_regex,Yes,2024-08-16,No
148,Dark Web,Config File,DB_PASSWORD=secret635,5,password_env_regex,Yes,2025-07-25,Yes
149,Public Forum,Config File,DB_PASSWORD=secret365,8,api_key_regex,No,2025-07-24,No
150,Public Forum,API Key,AIzaSyD2964***,10,api_key_regex,No,2025-05-16,No
151,Dark Web,Config File,DB_PASSWORD=secret213,9,credit_card_regex,No,2024-08-27,Yes
152,Pastebin,API Key,AIzaSyD9217***,3,password_env_regex,Yes,2024-08-14,No
153,GitHub,Confidential Document,ConfDoc_9969.pdf,10,username_password,Yes,2025-04-02,No
154,GitHub,Credentials,user784:pass957,5,credit_card_regex,Yes,2025-05-28,No
155,GitHub,Credentials,user965:pass588,7,password_env_regex,Yes,2025-01-17,No
156,GitHub,Credentials,user401:pass769,10,api_key_regex,No,2024-09-22,No
157,Pastebin,Source Code,function test45(){return true;},7,credit_card_regex,No,2025-05-08,No
158,Public Forum,Database Dump,db_row_8004,3,credit_card_regex,Yes,2025-03-24,No
159,Dark Web,Personal Data,"Name50, email31@example.com",4,username_password,No,2025-05-26,Yes
160,GitHub,Source Code,function test24(){return true;},2,username_password,No,2024-12-12,No
161,GitHub,Credentials,user375:pass809,2,username_password,Yes,2025-06-19,No
162,GitHub,Payment Info,4206 8899 8041 9731,9,email_regex,Yes,2024-12-13,Yes
163,Dark Web,Config File,DB_PASSWORD=secret359,6,password_env_regex,Yes,2024-11-13,Yes
164,Public Forum,Database Dump,db_row_2599,5,password_env_regex,No,2024-12-26,No
165,Public Forum,Credentials,user339:pass706,3,credit_card_regex,Yes,2024-09-23,No
166,Pastebin,Config File,DB_PASSWORD=secret159,3,api_key_regex,No,2025-08-07,Yes
167,Dark Web,Database Dump,db_row_3960,6,password_env_regex,Yes,2025-05-28,No
168,GitHub,Credentials,user762:pass611,7,password_env_regex,No,2024-11-20,Yes
169,Pastebin,Confidential Document,ConfDoc_2099.pdf,4,username_password,Yes,2024-09-16,Yes
170,Social Media,Confidential Document,ConfDoc_5002.pdf,2,credit_card_regex,Yes,2025-04-06,No
171,GitHub,Config File,DB_PASSWORD=secret858,9,api_key_regex,Yes,2025-05-19,No
172,Social Media,Config File,DB_PASSWORD=secret352,8,password_env_regex,No,2025-03-22,Yes
173,Pastebin,Personal Data,"Name71, email48@example.com",1,username_password,No,2024-08-18,No
174,Dark Web,Database Dump,db_row_7581,9,email_regex,Yes,2025-07-16,No
175,Dark Web,Credentials,user671:pass641,10,password_env_regex,No,2025-02-21,Yes
176,Public Forum,Database Dump,db_row_4695,5,password_env_regex,No,2025-03-03,No
177,GitHub,Personal Data,"Name46, email55@example.com",1,email_regex,No,2025-04-23,Yes
178,Pastebin,Database Dump,db_row_1015,6,username_password,No,2024-12-01,No
179,GitHub,API Key,AIzaSyD5387***,9,password_env_regex,Yes,2024-12-05,No
180,Dark Web,Payment Info,4189 6838 3976 3241,9,email_regex,No,2025-03-21,Yes
181,Social Media,API Key,AIzaSyD2504***,1,email_regex,Yes,2025-03-08,No
182,GitHub,Payment Info,4233 7095 9269 9648,2,password_env_regex,Yes,2024-09-26,Yes
183,Social Media,API Key,AIzaSyD2345***,1,username_password,No,2025-07-10,No
184,Dark Web,Confidential Document,ConfDoc_3797.pdf,4,email_regex,Yes,2025-05-31,Yes
185,Dark Web,Config File,DB_PASSWORD=secret631,5,credit_card_regex,No,2025-08-01,Yes
186,Dark Web,Payment Info,4554 2603 2303 7859,4,credit_card_regex,Yes,2024-09-15,No
187,Dark Web,Payment Info,4315 6106 5118 7658,6,email_regex,Yes,2024-09-28,Yes
188,Pastebin,Confidential Document,ConfDoc_3512.pdf,1,api_key_regex,No,2024-09-14,Yes
189,GitHub,Database Dump,db_row_5510,6,username_password,Yes,2025-07-20,No
190,Dark Web,Confidential Document,ConfDoc_4733.pdf,1,email_regex,No,2025-02-05,No
191,GitHub,API Key,AIzaSyD3877***,5,password_env_regex,No,2025-04-02,Yes
192,Pastebin,Personal Data,"Name60, email75@example.com",5,password_env_regex,Yes,2025-03-15,No
193,Pastebin,API Key,AIzaSyD5042***,7,credit_card_regex,Yes,2024-08-19,Yes
194,Public Forum,Database Dump,db_row_3145,9,credit_card_regex,Yes,2025-05-26,Yes
195,Public Forum,Personal Data,"Name84, email25@example.com",6,username_password,Yes,2025-04-09,No
196,Public Forum,Database Dump,db_row_1581,4,api_key_regex,No,2025-07-31,Yes
197,Public Forum,Credentials,user676:pass803,9,api_key_regex,Yes,2024-09-07,No
198,Pastebin,Confidential Document,ConfDoc_1608.pdf,9,username_password,Yes,2025-07-03,Yes
199,Dark Web,Payment Info,4349 5653 2835 7632,1,credit_card_regex,Yes,2024-11-15,No
200,Public Forum,API Key,AIzaSyD8618***,1,username_password,Yes,2025-08-11,No
201,Public Forum,Credentials,user301:pass743,9,credit_card_regex,No,2024-08-16,No
202,Public Forum,Credentials,user666:pass862,9,password_env_regex,No,2024-08-24,Yes
203,Dark Web,Payment Info,4058 6906 5966 2921,9,password_env_regex,No,2025-01-26,No
204,Public Forum,Confidential Document,ConfDoc_2723.pdf,10,api_key_regex,No,2025-02-20,Yes
205,Dark Web,API Key,AIzaSyD9198***,3,username_password,No,2024-11-06,No
206,Social Media,Personal Data,"Name88, email80@example.com",8,api_key_regex,Yes,2025-07-31,Yes
207,Social Media,Personal Data,"Name36, email10@example.com",2,email_regex,Yes,2024-12-26,No
208,Dark Web,Credentials,user921:pass252,7,api_key_regex,Yes,2024-09-08,Yes
209,Pastebin,Confidential Document,ConfDoc_3327.pdf,2,password_env_regex,Yes,2024-09-14,Yes
210,GitHub,Confidential Document,ConfDoc_2806.pdf,8,username_password,Yes,2025-03-20,No
211,Dark Web,Payment Info,4846 8427 5941 9677,9,password_env_regex,Yes,2024-09-11,Yes
212,GitHub,Config File,DB_PASSWORD=secret352,5,api_key_regex,Yes,2025-02-27,Yes
213,Dark Web,Database Dump,db_row_4141,8,email_regex,Yes,2025-01-31,Yes
214,Public Forum,API Key,AIzaSyD1725***,8,credit_card_regex,No,2024-10-05,Yes
215,Pastebin,Credentials,user280:pass153,4,username_password,No,2025-03-20,Yes
216,Public Forum,API Key,AIzaSyD9933***,4,username_password,No,2025-03-02,No
217,GitHub,Config File,DB_PASSWORD=secret880,2,password_env_regex,No,2024-11-04,No
218,Public Forum,API Key,AIzaSyD2169***,1,api_key_regex,No,2025-07-22,No
219,Pastebin,Credentials,user254:pass614,1,credit_card_regex,Yes,2024-12-28,Yes
220,Social Media,Database Dump,db_row_7155,10,username_password,Yes,2024-10-15,Yes
221,GitHub,Source Code,function test52(){return true;},8,password_env_regex,Yes,2025-05-13,No
222,Social Media,Personal Data,"Name98, email67@example.com",1,email_regex,Yes,2025-07-23,Yes
223,Pastebin,Database Dump,db_row_4805,10,api_key_regex,Yes,2025-04-17,Yes
224,GitHub,API Key,AIzaSyD5815***,5,email_regex,Yes,2024-10-28,Yes
225,Social Media,Personal Data,"Name25, email68@example.com",9,credit_card_regex,No,2024-08-17,Yes
226,Dark Web,Payment Info,4108 5626 7635 2879,7,email_regex,No,2025-04-25,No
227,Public Forum,Payment Info,4392 6407 3198 1528,10,credit_card_regex,No,2024-12-15,Yes
228,Social Media,Credentials,user583:pass522,1,password_env_regex,No,2025-06-20,No
229,Public Forum,Credentials,user145:pass504,3,credit_card_regex,Yes,2024-11-20,Yes
230,Pastebin,Confidential Document,ConfDoc_8981.pdf,10,api_key_regex,No,2025-05-13,Yes
231,Social Media,Config File,DB_PASSWORD=secret272,4,username_password,No,2024-09-24,No
232,Public Forum,Payment Info,4236 5756 7425 2596,7,email_regex,Yes,2025-01-15,No
233,GitHub,Personal Data,"Name70, email64@example.com",4,username_password,Yes,2025-04-13,No
234,GitHub,Config File,DB_PASSWORD=secret200,7,api_key_regex,Yes,2025-02-02,No
235,Dark Web,Database Dump,db_row_2320,9,email_regex,No,2025-06-27,No
236,Social Media,Credentials,user746:pass941,10,email_regex,Yes,2025-01-25,No
237,GitHub,Config File,DB_PASSWORD=secret811,1,credit_card_regex,Yes,2025-01-09,No
238,GitHub,Source Code,function test24(){return true;},7,username_password,Yes,2024-10-05,Yes
239,GitHub,Personal Data,"Name96, email80@example.com",10,email_regex,No,2025-03-02,Yes
240,Dark Web,Payment Info,4590 3570 1806 9391,7,username_password,Yes,2024-10-16,No
241,Pastebin,Source Code,function test42(){return true;},2,password_env_regex,No,2025-01-18,Yes
242,Pastebin,Payment Info,4603 4343 4446 8494,2,credit_card_regex,No,2025-08-07,Yes
243,GitHub,Payment Info,4846 4422 2748 5510,3,credit_card_regex,Yes,2025-07-29,Yes
244,Dark Web,Confidential Document,ConfDoc_3923.pdf,6,password_env_regex,Yes,2025-07-18,No
245,GitHub,Credentials,user725:pass213,4,email_regex,No,2024-10-18,No
246,Pastebin,API Key,AIzaSyD6100***,3,email_regex,No,2024-10-01,Yes
247,Public Forum,Personal Data,"Name17, email56@example.com",4,credit_card_regex,Yes,2025-06-27,Yes
248,Social Media,Personal Data,"Name92, email56@example.com",4,credit_card_regex,Yes,2025-01-28,Yes
249,Social Media,Confidential Document,ConfDoc_8795.pdf,6,username_password,Yes,2025-07-06,Yes
250,Pastebin,Confidential Document,ConfDoc_3958.pdf,1,email_regex,No,2025-08-03,Yes
251,Dark Web,Credentials,user770:pass129,5,password_env_regex,No,2025-07-04,No
252,Public Forum,Confidential Document,ConfDoc_1816.pdf,8,email_regex,No,2024-08-19,No
253,Social Media,Personal Data,"Name86, email27@example.com",4,credit_card_regex,Yes,2025-05-25,No
254,Social Media,Personal Data,"Name55, email78@example.com",9,api_key_regex,Yes,2025-06-19,No
255,Public Forum,Payment Info,4958 9535 2956 9571,4,password_env_regex,Yes,2024-09-06,Yes
256,GitHub,Database Dump,db_row_6083,9,email_regex,No,2025-06-10,Yes
257,Social Media,Payment Info,4380 2758 9476 6529,4,credit_card_regex,No,2025-06-26,Yes
258,GitHub,Confidential Document,ConfDoc_7583.pdf,8,password_env_regex,Yes,2025-05-08,Yes
259,Public Forum,Config File,DB_PASSWORD=secret689,8,password_env_regex,Yes,2024-08-20,Yes
260,Social Media,Personal Data,"Name17, email92@example.com",7,credit_card_regex,No,2024-12-17,No
261,Social Media,Database Dump,db_row_6828,2,api_key_regex,No,2025-06-15,Yes
262,Pastebin,Database Dump,db_row_7118,3,username_password,No,2024-11-29,No
263,Social Media,Payment Info,4312 1209 6413 7662,2,api_key_regex,No,2025-08-09,Yes
264,Public Forum,Config File,DB_PASSWORD=secret411,3,credit_card_regex,No,2025-08-02,No
265,Social Media,Config File,DB_PASSWORD=secret820,6,api_key_regex,No,2024-12-29,No
266,Social Media,Credentials,user692:pass449,4,api_key_regex,Yes,2024-08-25,Yes
267,Social Media,Confidential Document,ConfDoc_9631.pdf,4,password_env_regex,Yes,2025-07-04,No
268,Social Media,Personal Data,"Name11, email74@example.com",1,email_regex,Yes,2025-03-26,No
269,Social Media,Personal Data,"Name49, email88@example.com",8,credit_card_regex,No,2025-02-18,Yes
270,Dark Web,Database Dump,db_row_6402,8,password_env_regex,No,2024-08-17,No
271,GitHub,Confidential Document,ConfDoc_5686.pdf,7,email_regex,No,2025-06-01,Yes
272,Social Media,Payment Info,4740 8326 4183 2612,9,password_env_regex,Yes,2025-05-26,Yes
273,Dark Web,Personal Data,"Name88, email76@example.com",7,credit_card_regex,Yes,2024-09-25,Yes
274,Pastebin,Credentials,user772:pass559,3,api_key_regex,No,2024-10-28,No
275,Pastebin,Source Code,function test70(){return true;},5,api_key_regex,No,2025-03-05,Yes
276,Public Forum,API Key,AIzaSyD6374***,9,api_key_regex,No,2025-04-23,Yes
277,GitHub,Personal Data,"Name81, email84@example.com",7,api_key_regex,Yes,2025-01-09,Yes
278,Public Forum,Source Code,function test91(){return true;},9,api_key_regex,No,2024-09-25,No
279,Social Media,API Key,AIzaSyD2911***,4,password_env_regex,No,2024-10-16,No
280,Dark Web,Database Dump,db_row_8986,5,username_password,No,2025-02-08,No
281,GitHub,Credentials,user884:pass897,9,api_key_regex,No,2025-06-24,No
282,GitHub,Source Code,function test12(){return true;},7,api_key_regex,Yes,2025-06-20,Yes
283,GitHub,Confidential Document,ConfDoc_3508.pdf,9,credit_card_regex,No,2024-09-22,Yes
284,Social Media,Config File,DB_PASSWORD=secret258,1,username_password,No,2024-11-14,No
285,Pastebin,Config File,DB_PASSWORD=secret746,2,credit_card_regex,No,2025-05-10,Yes
286,GitHub,Config File,DB_PASSWORD=secret324,10,credit_card_regex,Yes,2024-11-12,Yes
287,GitHub,Confidential Document,ConfDoc_3788.pdf,8,username_password,Yes,2024-12-22,Yes
288,Dark Web,Payment Info,4933 9327 7323 7474,10,email_regex,No,2024-10-20,No
289,Public Forum,Database Dump,db_row_5745,6,email_regex,Yes,2025-08-02,No
290,Public Forum,Source Code,function test71(){return true;},2,api_key_regex,No,2024-12-23,Yes
291,GitHub,API Key,AIzaSyD1842***,4,password_env_regex,Yes,2025-04-24,No
292,GitHub,Source Code,function test91(){return true;},2,credit_card_regex,No,2025-07-20,Yes
293,Pastebin,Config File,DB_PASSWORD=secret493,10,api_key_regex,Yes,2025-02-23,No
294,Dark Web,Source Code,function test62(){return true;},4,password_env_regex,Yes,2025-05-12,No
295,Dark Web,Config File,DB_PASSWORD=secret999,3,password_env_regex,No,2024-10-20,No
296,Public Forum,Database Dump,db_row_1473,2,credit_card_regex,Yes,2025-03-07,Yes
297,Dark Web,Credentials,user142:pass440,10,api_key_regex,No,2025-02-20,Yes
298,Pastebin,Confidential Document,ConfDoc_9959.pdf,10,credit_card_regex,No,2025-07-28,Yes
299,Public Forum,Source Code,function test83(){return true;},3,credit_card_regex,No,2025-05-30,No
300,Dark Web,Database Dump,db_row_3431,7,credit_card_regex,No,2025-03-01,No
301,Pastebin,Config File,DB_PASSWORD=secret167,1,api_key_regex,No,2024-11-25,Yes
302,Public Forum,Confidential Document,ConfDoc_5618.pdf,3,password_env_regex,Yes,2024-09-10,No
303,Dark Web,Confidential Document,ConfDoc_5019.pdf,3,credit_card_regex,Yes,2025-05-17,Yes
304,Dark Web,Credentials,user540:pass931,10,credit_card_regex,Yes,2024-12-04,No
305,Pastebin,Credentials,user200:pass349,4,username_password,No,2025-02-09,Yes
306,Public Forum,Personal Data,"Name32, email59@example.com",10,email_regex,No,2025-06-18,Yes
307,Dark Web,Credentials,user535:pass107,2,credit_card_regex,Yes,2025-06-18,No
308,Pastebin,Payment Info,4209 5241 6756 1662,8,email_regex,No,2025-08-09,No
